gro gi yod, Go.
khyod bde mo, Hi.
bros byol du, Run!
bros byol du, Run.
su yin zer na, Who?
a tsi, Wow!
ngang pa, Duck!
me skyon, Fire!
rogs ram byed dgos, Help!
sbas skung byed pa, Hide.
mchong lding, Jump!
lding ba, Jump.
nyar jog, Stay.
mtshams jog dgos, Stop!
sgug dang, Wait!
sgug pa, Wait.
go tshugs pa red, Begin.
las ka byas na grig gi, Do it.
mu mthud nas yong, Go on.
khyod bde mo, Hello!
khyod bde mo, Hello.
rem ma song, Hurry!
nga yib pa yin, I hid.
nga bros song, I ran.
ngas tshod lta zhig byed, I try.
nga rgyal song, I won!
oo, Oh no!
lhod g.yeng du gtong ba, Relax.
mda phen pa, Shoot!
dzum mdangs, Smile.
dgongs pa ma tshom, Sorry?
phar rgol byed pa, Attack!
de nyos pa red, Buy it.
za gi yod, Eat it.
dbugs byin pa, Exhale.
mal las langs pa, Get up.
da lta gro gi yin, Go now.
ha go song, Got it!
ha go song ngam, Got it?
kho bros song, He ran.
nang du lding, Hop in.
nga la tham khyud byed , Hug me.
ngas do snang byed kyin yod, I care.
nga thang la gyel song , I fell.
nga bros song, I fled.
ngas shes yod, I know.
nga kha bral ba yin, I left.
ngas rdzun bshad pa yin, I lied.
nga pham song, I lost.
ngas sgor mo sprad pa yin, I paid.
ngas byed kyi min, I quit.
ngas blangs pa yin, I sang.
nga ngus pa yin, I wept.
ngas las ka byed kyi yod, I work.
nga da lo lo [19]yin, Im 19.
nga yar langs byung, Im up.
jib pa, Inhale.
nyan pa, Listen.
dpe mi srid pa, No way!
bden pa yin nam, Really?
thugs rje che, Thanks!
bka drin che, Thanks.
tshod lta zhig byos dang, Try it.
nga la tshod lta zhig byos, Try me.
nga tshos bza rgyu yin, We ate.
nga tshos bad brtson byed kyi, We try.
nga tshor rgyal kha thob song, We won.
cii phyir nga yin pa red, Why me?
nga la skyon med pa yin nam, Am I OK?
thang moo la dri ba, Ask Tom.
kho la dris dang, Ask him.
dbyug pa zhig, Awesome!
bab brling rgyun khyongs bya dgos, Be calm.
gdug rtsub chen po byed, Be cool.
drang snyoms yong ba bya dgos, Be fair.
yag po yong ba byed dgos, Be good.
gshis rgyud bzang po dgos, Be kind.
mi bzang po zhig byed dgos, Be nice.
phar song, Beat it!
phar song, Beat it.
dur sbas byas pa red, Bury it.
nga la kha par rgyob, Call me.
nga tshor glog phrin btang ba yin, Call us.
nang du phebs rogs gnang, Come in.
shugs snon rgyag dgos, Come on!
snum snon rgyag pa, Come on.
mar zhog, Drop it!
de lteb brtsegs byas pa red, Fold it.
thang moo thob pa red, Get Tom.
phyi la gtong, Get out!
phyi la gtong ba, Get out.
phar song, Go away!
phar song, Go away.
rang khyim du log, Go home.
rim bzhin yong gi yod, Go slow.
rjes su mjal yong, Goodbye!
mtha khyongs byed dgos, Hang on!
rgyun khyongs bya dgos, Hang on.
kho slebs byung, He came.
kho kha bral ba red, He left.
