
You're using a T5TokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
{'loss': 4.893, 'learning_rate': 1.9e-05, 'epoch': 0.1}
{'loss': 4.4741, 'learning_rate': 1.9933333333333334e-05, 'epoch': 0.1}
{'loss': 4.3925, 'learning_rate': 1.9866666666666667e-05, 'epoch': 0.2}
{'loss': 4.367, 'learning_rate': 1.98e-05, 'epoch': 0.3}
{'loss': 4.2861, 'learning_rate': 1.9733333333333336e-05, 'epoch': 0.4}
{'loss': 4.2557, 'learning_rate': 1.9666666666666666e-05, 'epoch': 0.5}
{'loss': 4.2115, 'learning_rate': 1.9600000000000002e-05, 'epoch': 0.6}
{'loss': 4.1568, 'learning_rate': 1.9533333333333335e-05, 'epoch': 0.7}
{'loss': 4.0935, 'learning_rate': 1.9466666666666668e-05, 'epoch': 0.8}
{'loss': 4.0562, 'learning_rate': 1.94e-05, 'epoch': 0.9}
{'loss': 4.0725, 'learning_rate': 1.9333333333333333e-05, 'epoch': 1.0}
{'loss': 4.0234, 'learning_rate': 1.926666666666667e-05, 'epoch': 1.1}
{'loss': 4.0033, 'learning_rate': 1.9200000000000003e-05, 'epoch': 1.2}
{'loss': 3.9811, 'learning_rate': 1.9133333333333335e-05, 'epoch': 1.3}
{'loss': 3.931, 'learning_rate': 1.9066666666666668e-05, 'epoch': 1.4}
{'loss': 3.9273, 'learning_rate': 1.9e-05, 'epoch': 1.5}
{'loss': 3.9194, 'learning_rate': 1.8933333333333334e-05, 'epoch': 1.6}
{'loss': 3.8701, 'learning_rate': 1.886666666666667e-05, 'epoch': 1.7}
{'loss': 3.8742, 'learning_rate': 1.88e-05, 'epoch': 1.8}
{'loss': 3.8494, 'learning_rate': 1.8733333333333336e-05, 'epoch': 1.9}
{'loss': 3.8369, 'learning_rate': 1.866666666666667e-05, 'epoch': 2.0}
{'loss': 3.8006, 'learning_rate': 1.86e-05, 'epoch': 2.1}
{'loss': 3.7928, 'learning_rate': 1.8533333333333334e-05, 'epoch': 2.2}
{'loss': 3.7487, 'learning_rate': 1.8466666666666667e-05, 'epoch': 2.3}
{'loss': 3.7596, 'learning_rate': 1.8400000000000003e-05, 'epoch': 2.4}
{'loss': 3.7456, 'learning_rate': 1.8333333333333333e-05, 'epoch': 2.5}
{'loss': 3.7405, 'learning_rate': 1.826666666666667e-05, 'epoch': 2.6}
{'loss': 3.7307, 'learning_rate': 1.8200000000000002e-05, 'epoch': 2.7}
{'loss': 3.7262, 'learning_rate': 1.8133333333333335e-05, 'epoch': 2.8}
{'loss': 3.6997, 'learning_rate': 1.8066666666666668e-05, 'epoch': 2.9}
{'loss': 3.7075, 'learning_rate': 1.8e-05, 'epoch': 3.0}
{'loss': 3.685, 'learning_rate': 1.7933333333333333e-05, 'epoch': 3.1}
{'loss': 3.6341, 'learning_rate': 1.7866666666666666e-05, 'epoch': 3.2}
{'loss': 3.6458, 'learning_rate': 1.7800000000000002e-05, 'epoch': 3.3}
{'loss': 3.6237, 'learning_rate': 1.7733333333333335e-05, 'epoch': 3.4}
{'loss': 3.6062, 'learning_rate': 1.7666666666666668e-05, 'epoch': 3.5}
